Year,Economy,Economy Label,Flow,Flow Label,US$ at current prices in millions,US$ at current prices in millions Footnote,US$ at current prices in millions Missing value,Percentage of total world,Percentage of total world Footnote,Percentage of total world Missing value
1948,051,"Armenia",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,036,"Australia",02,"Exports",1649.4,,,2.811704,,
1948,036,"Australia",01,"Imports",1341.18,,,2.150382,,
1948,040,"Austria",02,"Exports",198.004,,,0.337534,,
1948,040,"Austria",01,"Imports",490,,,0.785642,,
1948,031,"Azerbaijan",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,031,"Azerbaijan",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,044,"Bahamas",02,"Exports",2,,,0.003409,,
1948,044,"Bahamas",01,"Imports",19,,,0.030464,,
1948,048,"Bahrain",02,"Exports",133,,,0.226723,,
1948,048,"Bahrain",01,"Imports",120,,,0.192402,,
1948,052,"Barbados",02,"Exports",12.28,,,0.020934,,
1948,052,"Barbados",01,"Imports",25.575,,,0.041006,,
1948,112,"Belarus",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,112,"Belarus",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,056,"Belgium",02,"Exports",1690,,,2.880914,,
1948,056,"Belgium",01,"Imports",1985,,,3.182651,,
1948,084,"Belize",02,"Exports",6,,,0.010228,,
1948,084,"Belize",01,"Imports",8,,,0.012827,,
1948,204,"Benin",02,"Exports",9.812,,,0.016726,,
1948,204,"Benin",01,"Imports",7.228,,,0.011589,,
1948,068,"Bolivia (Plurinational State of)",02,"Exports",113,,,0.192629,,
1948,068,"Bolivia (Plurinational State of)",01,"Imports",68.7,,,0.11015,,
1948,535,"Bonaire, Sint Eustatius and Saba",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,535,"Bonaire, Sint Eustatius and Saba",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,070,"Bosnia and Herzegovina",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,070,"Bosnia and Herzegovina",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,076,"Brazil",02,"Exports",1183,,,2.01664,,
1948,076,"Brazil",01,"Imports",1127,,,1.806976,,
1948,096,"Brunei Darussalam",02,"Exports",24,,,0.040912,,
1948,096,"Brunei Darussalam",01,"Imports",16.5,,,0.026455,,
1948,100,"Bulgaria",02,"Exports",91,,,0.155126,,
1948,100,"Bulgaria",01,"Imports",124,,,0.198815,,
1948,132,"Cabo Verde",02,"Exports",9.581,,,0.016333,,
1948,132,"Cabo Verde",01,"Imports",16.271,,,0.026088,,
1948,120,"Cameroon",02,"Exports",36,,,0.061369,,
1948,120,"Cameroon",01,"Imports",42,,,0.067341,,
1948,124,"Canada",02,"Exports",3201.91,,,5.458241,,
1948,124,"Canada",01,"Imports",2740.27,,,4.393614,,
1948,152,"Chile",02,"Exports",327,,,0.557431,,
1948,152,"Chile",01,"Imports",270,,,0.432905,,
1948,156,"China",02,"Exports",520,,,0.886435,,
1948,156,"China",01,"Imports",387,,,0.620497,,
1948,344,"China, Hong Kong SAR",02,"Exports",398.72,,,0.679691,,
1948,344,"China, Hong Kong SAR",01,"Imports",523.399,,,0.839192,,
1948,446,"China, Macao SAR",02,"Exports",10,,,0.017047,,
1948,446,"China, Macao SAR",01,"Imports",21,,,0.03367,,
1948,158,"China, Taiwan Province of",02,"Exports",17,,,0.02898,,
1948,158,"China, Taiwan Province of",01,"Imports",5,,,0.008017,,
1948,170,"Colombia",02,"Exports",306.6,,,0.522656,,
1948,170,"Colombia",01,"Imports",337,,,0.540329,,
1948,178,"Congo",02,"Exports",50,,,0.085234,,
1948,178,"Congo",01,"Imports",53,,,0.084978,,
1948,188,"Costa Rica",02,"Exports",50.3,,,0.085746,,
1948,188,"Costa Rica",01,"Imports",42.3,,,0.067822,,
1948,384,"Cote d'Ivoire",02,"Exports",42,,,0.071597,,
1948,191,"Croatia",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,191,"Croatia",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,192,"Cuba",02,"Exports",710,,,1.210325,,
1948,192,"Cuba",01,"Imports",527,,,0.844966,,
1948,531,"Curacao",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,531,"Curacao",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,196,"Cyprus",02,"Exports",22.886,,,0.039013,,
1948,196,"Cyprus",01,"Imports",62.731,,,0.10058,,
1948,203,"Czechia",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,203,"Czechia",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,200,"Czechoslovakia",02,"Exports",753,,,1.283626,,
1948,200,"Czechoslovakia",01,"Imports",681,,,1.091882,,
1948,180,"Dem. Rep. of the Congo",02,"Exports",245,,,0.417647,,
1948,180,"Dem. Rep. of the Congo",01,"Imports",192,,,0.307843,,
1948,278,"Democratic Republic of Germany",02,"Exports",320,,,0.545499,,
1948,278,"Democratic Republic of Germany",01,"Imports",172,,,0.275776,,
1948,208,"Denmark",02,"Exports",569.076,,,0.970094,,
1948,208,"Denmark",01,"Imports",713.48,,,1.143959,,
1948,262,"Djibouti",02,"Exports",9,,,0.015342,,
1948,262,"Djibouti",01,"Imports",17,,,0.027257,,
1948,214,"Dominican Republic",02,"Exports",82.8,,,0.141148,,
1948,214,"Dominican Republic",01,"Imports",74.476,,,0.119411,,
1948,218,"Ecuador",02,"Exports",46,,,0.078415,,
1948,218,"Ecuador",01,"Imports",59.64,,,0.095624,,
1948,818,"Egypt",02,"Exports",591.432,,,1.008204,,
1948,818,"Egypt",01,"Imports",714.596,,,1.145748,,
1948,222,"El Salvador",02,"Exports",45.6,,,0.077734,,
1948,222,"El Salvador",01,"Imports",41.56,,,0.066635,,
1948,226,"Equatorial Guinea",02,"Exports",19,,,0.032389,,
1948,226,"Equatorial Guinea",01,"Imports",51,,,0.081771,,
1948,232,"Eritrea",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,232,"Eritrea",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,233,"Estonia",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,233,"Estonia",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,231,"Ethiopia",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,231,"Ethiopia",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,230,"Ethiopia (...1991)",02,"Exports",38.882,,,0.066281,,
1948,230,"Ethiopia (...1991)",01,"Imports",49.91,,,0.080023,,
1948,234,"Faroe Islands",02,"Exports",16.6,,,0.028298,,
1948,234,"Faroe Islands",01,"Imports",7,,,0.011223,,
1948,280,"Federal Republic of Germany",02,"Exports",791,,,1.348404,,
1948,280,"Federal Republic of Germany",01,"Imports",1400,,,2.244691,,
1948,242,"Fiji",02,"Exports",24.62,,,0.041969,,
1948,242,"Fiji",01,"Imports",21.58,,,0.0346,,
1948,246,"Finland",02,"Exports",500.735,,,0.853594,,
1948,246,"Finland",01,"Imports",488.235,,,0.782812,,
1948,250,"France",02,"Exports",2058.985,,,3.509916,,
1948,250,"France",01,"Imports",3504.425,,,5.618823,,
1948,254,"French Guiana",02,"Exports",0.369,,,0.000629,,
1948,254,"French Guiana",01,"Imports",4.51,,,0.007231,,
1948,258,"French Polynesia",02,"Exports",9,,,0.015342,,
1948,258,"French Polynesia",01,"Imports",8,,,0.012827,,
1948,270,"Gambia",02,"Exports",8.898,,,0.015168,,
1948,270,"Gambia",01,"Imports",7.81,,,0.012522,,
1948,268,"Georgia",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,268,"Georgia",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,276,"Germany",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,276,"Germany",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,288,"Ghana",02,"Exports",226.082,,,0.385398,,
1948,288,"Ghana",01,"Imports",126.541,,,0.20289,,
1948,300,"Greece",02,"Exports",94,,,0.16024,,
1948,300,"Greece",01,"Imports",362.948,,,0.581933,,
1948,304,"Greenland",02,"Exports",4,,,0.006819,,
1948,304,"Greenland",01,"Imports",4,,,0.006413,,
1948,308,"Grenada",02,"Exports",4,,,0.006819,,
1948,312,"Guadeloupe",02,"Exports",12.419,,,0.02117,,
1948,312,"Guadeloupe",01,"Imports",17.551,,,0.02814,,
1948,316,"Guam",02,"Exports",6,,,0.010228,,
1948,316,"Guam",01,"Imports",10,,,0.016034,,
1948,320,"Guatemala",02,"Exports",50.17,,,0.085524,,
1948,320,"Guatemala",01,"Imports",68.35,,,0.109589,,
1948,324,"Guinea",02,"Exports",10,,,0.017047,,
1948,624,"Guinea-Bissau",02,"Exports",5,,,0.008523,,
1948,624,"Guinea-Bissau",01,"Imports",7.433,,,0.011918,,
1948,328,"Guyana",02,"Exports",30.81,,,0.052521,,
1948,328,"Guyana",01,"Imports",39.8,,,0.063813,,
1948,332,"Haiti",02,"Exports",29.9,,,0.05097,,
1948,332,"Haiti",01,"Imports",32.208,,,0.051641,,
1948,340,"Honduras",02,"Exports",55,,,0.093758,,
1948,340,"Honduras",01,"Imports",43,,,0.068944,,
1948,348,"Hungary",02,"Exports",253,,,0.431285,,
1948,348,"Hungary",01,"Imports",168,,,0.269363,,
1948,352,"Iceland",02,"Exports",61.633,,,0.105065,,
1948,352,"Iceland",01,"Imports",70.878,,,0.113642,,
1948,356,"India",02,"Exports",1295.44,,,2.208314,,
1948,356,"India",01,"Imports",1426.62,,,2.287372,,
1948,360,"Indonesia",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,360,"Indonesia",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,960,"Indonesia (...2002)",02,"Exports",394,,,0.671645,,
1948,960,"Indonesia (...2002)",01,"Imports",464,,,0.743955,,
1948,364,"Iran (Islamic Republic of)",02,"Exports",490.8,,,0.836658,,
1948,364,"Iran (Islamic Republic of)",01,"Imports",167,,,0.26776,,
1948,368,"Iraq",02,"Exports",49.972,,,0.085186,,
1948,368,"Iraq",01,"Imports",185.38,,,0.297229,,
1948,372,"Ireland",02,"Exports",198.679,,,0.338685,,
1948,372,"Ireland",01,"Imports",549.289,,,0.880703,,
1948,376,"Israel",02,"Exports",6.2,,,0.010569,,
1948,376,"Israel",01,"Imports",108.2,,,0.173483,,
1948,380,"Italy",02,"Exports",1077,,,1.835943,,
1948,380,"Italy",01,"Imports",1539,,,2.467557,,
1948,388,"Jamaica",02,"Exports",45.902,,,0.078248,,
1948,388,"Jamaica",01,"Imports",79.391,,,0.127292,,
1948,392,"Japan",02,"Exports",257.924,,,0.439679,,
1948,392,"Japan",01,"Imports",684,,,1.096692,,
1948,400,"Jordan",02,"Exports",10.49,,,0.017882,,
1948,400,"Jordan",01,"Imports",42.718,,,0.068492,,
1948,398,"Kazakhstan",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,398,"Kazakhstan",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,404,"Kenya",02,"Exports",137,,,0.233542,,
1948,404,"Kenya",01,"Imports",182,,,0.29181,,
1948,296,"Kiribati",01,"Imports",1,,,0.001603,,
1948,417,"Kyrgyzstan",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,417,"Kyrgyzstan",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,428,"Latvia",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,428,"Latvia",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,430,"Liberia",02,"Exports",16,,,0.027275,,
1948,434,"Libya",02,"Exports",9.269,,,0.015801,,
1948,434,"Libya",01,"Imports",22.165,,,0.035538,,
1948,440,"Lithuania",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,440,"Lithuania",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,450,"Madagascar",02,"Exports",49,,,0.083529,,
1948,450,"Madagascar",01,"Imports",78,,,0.125061,,
1948,454,"Malawi",02,"Exports",16.966,,,0.028922,,
1948,454,"Malawi",01,"Imports",20,,,0.032067,,
1948,458,"Malaysia",02,"Exports",621.092,,,1.058765,,
1948,458,"Malaysia",01,"Imports",457.473,,,0.73349,,
1948,462,"Maldives",02,"Exports",2,,,0.003409,,
1948,462,"Maldives",01,"Imports",4,,,0.006413,,
1948,470,"Malta",02,"Exports",5.066,,,0.008636,,
1948,470,"Malta",01,"Imports",65.197,,,0.104534,,
1948,584,"Marshall Islands",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,584,"Marshall Islands",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,474,"Martinique",02,"Exports",15.197,,,0.025906,,
1948,474,"Martinique",01,"Imports",20.744,,,0.03326,,
1948,480,"Mauritius",02,"Exports",43.689,,,0.074476,,
1948,480,"Mauritius",01,"Imports",41.18,,,0.066026,,
1948,484,"Mexico",02,"Exports",555.304,,,0.946617,,
1948,484,"Mexico",01,"Imports",643.048,,,1.031032,,
1948,583,"Micronesia (Federated States of)",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,583,"Micronesia (Federated States of)",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,499,"Montenegro",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,499,"Montenegro",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,504,"Morocco",02,"Exports",143.501,,,0.244624,,
1948,504,"Morocco",01,"Imports",281.367,,,0.45113,,
1948,508,"Mozambique",02,"Exports",40,,,0.068187,,
1948,508,"Mozambique",01,"Imports",71,,,0.113838,,
1948,104,"Myanmar",02,"Exports",228.24,,,0.389077,,
1948,104,"Myanmar",01,"Imports",175.889,,,0.282012,,
1948,520,"Nauru",02,"Exports",2,,,0.003409,,
1948,520,"Nauru",01,"Imports",2,,,0.003207,,
1948,528,"Netherlands (Kingdom of the)",02,"Exports",1184.76,,,2.01964,,
1948,528,"Netherlands (Kingdom of the)",01,"Imports",2147.5,,,3.443196,,
1948,530,"Netherlands Antilles",02,"Exports",406.925,,,0.693678,,
1948,530,"Netherlands Antilles",01,"Imports",542.832,,,0.87035,,
1948,540,"New Caledonia",02,"Exports",7,,,0.011933,,
1948,540,"New Caledonia",01,"Imports",11,,,0.017637,,
1948,554,"New Zealand",02,"Exports",518.009,,,0.883041,,
1948,554,"New Zealand",01,"Imports",450.542,,,0.722377,,
1948,558,"Nicaragua",02,"Exports",93.75,,,0.159814,,
1948,558,"Nicaragua",01,"Imports",24.13,,,0.038689,,
1948,562,"Niger",02,"Exports",6,,,0.010228,,
1948,566,"Nigeria",02,"Exports",251.673,,,0.429023,,
1948,566,"Nigeria",01,"Imports",169.058,,,0.271059,,
1948,807,"North Macedonia",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,807,"North Macedonia",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,580,"Northern Mariana Islands",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,580,"Northern Mariana Islands",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,578,"Norway",02,"Exports",415.291,,,0.707939,,
1948,578,"Norway",01,"Imports",749.983,,,1.202486,,
1948,512,"Oman",01,"Imports",5,,,0.008017,,
1948,586,"Pakistan",02,"Exports",493.876,,,0.841902,,
1948,586,"Pakistan",01,"Imports",312.224,,,0.500605,,
1948,585,"Palau",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,585,"Palau",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,591,"Panama",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,591,"Panama",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,590,"Panama, excluding Canal Zone",02,"Exports",14.09,,,0.024019,,
1948,590,"Panama, excluding Canal Zone",01,"Imports",71,,,0.113838,,
1948,598,"Papua New Guinea",02,"Exports",11.107,,,0.018934,,
1948,598,"Papua New Guinea",01,"Imports",21.066,,,0.033776,,
1948,600,"Paraguay",02,"Exports",28.16,,,0.048004,,
1948,600,"Paraguay",01,"Imports",27.83,,,0.044621,,
1948,604,"Peru",02,"Exports",162.436,,,0.276902,,
1948,604,"Peru",01,"Imports",167.788,,,0.269023,,
1948,608,"Philippines",02,"Exports",310,,,0.528452,,
1948,608,"Philippines",01,"Imports",644,,,1.032558,,
1948,616,"Poland",02,"Exports",594,,,1.012582,,
1948,616,"Poland",01,"Imports",519,,,0.832139,,
1948,620,"Portugal",02,"Exports",172.386,,,0.293863,,
1948,620,"Portugal",01,"Imports",415.453,,,0.666117,,
1948,634,"Qatar",02,"Exports",5,,,0.008523,,
1948,634,"Qatar",01,"Imports",5,,,0.008017,,
1948,410,"Republic of Korea",02,"Exports",19,,,0.032389,,
1948,410,"Republic of Korea",01,"Imports",205.7,,,0.329809,,
1948,498,"Republic of Moldova",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,498,"Republic of Moldova",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,638,"Reunion",02,"Exports",19,,,0.032389,,
1948,638,"Reunion",01,"Imports",18.62,,,0.029854,,
1948,642,"Romania",02,"Exports",160,,,0.272749,,
1948,642,"Romania",01,"Imports",96,,,0.153922,,
1948,643,"Russian Federation",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,643,"Russian Federation",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,666,"Saint Pierre and Miquelon",02,"Exports",2,,,0.003409,,
1948,666,"Saint Pierre and Miquelon",01,"Imports",2,,,0.003207,,
1948,670,"Saint Vincent and the Grenadines",02,"Exports",1.568,,,0.002673,,
1948,670,"Saint Vincent and the Grenadines",01,"Imports",2.513,,,0.004029,,
1948,882,"Samoa",02,"Exports",4,,,0.006819,,
1948,882,"Samoa",01,"Imports",3,,,0.00481,,
1948,678,"Sao Tome and Principe",02,"Exports",9,,,0.015342,,
1948,678,"Sao Tome and Principe",01,"Imports",4,,,0.006413,,
1948,682,"Saudi Arabia",02,"Exports",330,,,0.562545,,
1948,682,"Saudi Arabia",01,"Imports",127,,,0.203626,,
1948,686,"Senegal",02,"Exports",155,,,0.264226,,
1948,686,"Senegal",01,"Imports",177,,,0.283793,,
1948,688,"Serbia",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,688,"Serbia",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,891,"Serbia and Montenegro",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,891,"Serbia and Montenegro",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,690,"Seychelles",02,"Exports",2,,,0.003409,,
1948,690,"Seychelles",01,"Imports",1,,,0.001603,,
1948,694,"Sierra Leone",02,"Exports",21.52,,,0.036685,,
1948,694,"Sierra Leone",01,"Imports",20.069,,,0.032178,,
1948,702,"Singapore",02,"Exports",690.203,,,1.176577,,
1948,702,"Singapore",01,"Imports",845.828,,,1.356159,,
1948,534,"Sint Maarten (Dutch part)",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,534,"Sint Maarten (Dutch part)",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,703,"Slovakia",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,703,"Slovakia",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,705,"Slovenia",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,705,"Slovenia",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,090,"Solomon Islands",02,"Exports",1,,,0.001705,,
1948,090,"Solomon Islands",01,"Imports",1,,,0.001603,,
1948,706,"Somalia",02,"Exports",5,"Estimated",,0.008523,"Estimated",
1948,710,"South Africa",02,"Exports",1170.31,"Data refers to South Africa Customs Union",,1.995007,,
1948,710,"South Africa",01,"Imports",1551.75,"Data refers to South Africa Customs Union",,2.488,,
1948,728,"South Sudan",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,728,"South Sudan",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,724,"Spain",02,"Exports",373,,,0.635847,,
1948,724,"Spain",01,"Imports",482,,,0.772815,,
1948,144,"Sri Lanka",02,"Exports",305.623,,,0.52099,,
1948,144,"Sri Lanka",01,"Imports",300.484,,,0.481781,,
1948,729,"Sudan",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,729,"Sudan",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,736,"Sudan (...2011)",02,"Exports",98.696,,,0.168245,,
1948,736,"Sudan (...2011)",01,"Imports",91.546,,,0.14678,,
1948,740,"Suriname",02,"Exports",14.317,,,0.024406,,
1948,740,"Suriname",01,"Imports",19.196,,,0.030778,,
1948,752,"Sweden",02,"Exports",1107.12,,,1.887288,,
1948,752,"Sweden",01,"Imports",1377.57,,,2.208728,,
1948,756,"Switzerland",02,"Exports",785.511,,,1.339047,,
1948,756,"Switzerland",01,"Imports",1143.16,,,1.832886,,
1948,760,"Syrian Arab Republic",02,"Exports",36,,,0.061369,,
1948,760,"Syrian Arab Republic",01,"Imports",213.5,,,0.342315,,
1948,762,"Tajikistan",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,762,"Tajikistan",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,764,"Thailand",02,"Exports",223,,,0.380144,,
1948,764,"Thailand",01,"Imports",144,,,0.230883,,
1948,626,"Timor-Leste",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,626,"Timor-Leste",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,768,"Togo",02,"Exports",10,,,0.017047,,
1948,768,"Togo",01,"Imports",7,,,0.011223,,
1948,776,"Tonga",02,"Exports",3,,,0.005114,,
1948,776,"Tonga",01,"Imports",2.2,,,0.003527,,
1948,780,"Trinidad and Tobago",02,"Exports",110.741,,,0.188778,,
1948,780,"Trinidad and Tobago",01,"Imports",109.985,,,0.176345,,
1948,788,"Tunisia",02,"Exports",47.707,,,0.081325,,
1948,788,"Tunisia",01,"Imports",179,,,0.287,,
1948,792,"Turkiye",02,"Exports",196.8,,,0.335482,,
1948,792,"Turkiye",01,"Imports",347.5,,,0.557164,,
1948,795,"Turkmenistan",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,795,"Turkmenistan",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,800,"Uganda",02,"Exports",66,,,0.112509,,
1948,804,"Ukraine",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,804,"Ukraine",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,810,"Union of Soviet Socialist Republics",02,"Exports",1295,,,2.207564,,
1948,810,"Union of Soviet Socialist Republics",01,"Imports",1212,,,1.943261,,
1948,826,"United Kingdom",02,"Exports",6605.17,,,11.25972,,
1948,826,"United Kingdom",01,"Imports",8370.31,,,13.420543,,
1948,834,"United Republic of Tanzania",02,"Exports",63.51,,,0.108264,,
1948,834,"United Republic of Tanzania",01,"Imports",80.8,,,0.129551,,
1948,840,"United States",02,"Exports",12653,,,21.569352,,
1948,840,"United States",01,"Imports",8081,,,12.956678,,
1948,858,"Uruguay",02,"Exports",177.7,,,0.302922,,
1948,858,"Uruguay",01,"Imports",199.7,,,0.320189,,
1948,860,"Uzbekistan",02,"Exports",,,"Not applicable",,,"Not applicable"
1948,860,"Uzbekistan",01,"Imports",,,"Not applicable",,,"Not applicable"
1948,548,"Vanuatu",02,"Exports",5.336,,,0.009096,,
1948,548,"Vanuatu",01,"Imports",1.852,,,0.002969,,
1948,862,"Venezuela (Bolivarian Rep. of)",02,"Exports",897.6,,,1.530123,,
