Year,Year Label,Economy,Economy Label,Flow,Flow Label,Annual average growth rate,Annual average growth rate Footnote,Annual average growth rate Missing value
19921995,"1992 - 1995",5223,"South America",01,"Imports",19.01878,,
19921995,"1992 - 1995",5300,"Asia",02,"Exports",13.15727,,
19921995,"1992 - 1995",5300,"Asia",01,"Imports",14.26833,,
19921995,"1992 - 1995",5310,"Central Asia",02,"Exports",16.73129,,
19921995,"1992 - 1995",5310,"Central Asia",01,"Imports",5.26499,,
19921995,"1992 - 1995",5330,"Eastern Asia",02,"Exports",12.65579,,
19921995,"1992 - 1995",5330,"Eastern Asia",01,"Imports",14.79206,,
19921995,"1992 - 1995",5350,"South-eastern Asia",02,"Exports",20.44594,,
19921995,"1992 - 1995",5350,"South-eastern Asia",01,"Imports",21.00819,,
19921995,"1992 - 1995",5320,"Southern Asia",02,"Exports",7.97639,,
19921995,"1992 - 1995",5320,"Southern Asia",01,"Imports",2.3879,,
19921995,"1992 - 1995",5340,"Western Asia",02,"Exports",6.1818,,
19921995,"1992 - 1995",5340,"Western Asia",01,"Imports",6.44521,,
19921995,"1992 - 1995",5400,"Europe",02,"Exports",10.61608,,
19921995,"1992 - 1995",5400,"Europe",01,"Imports",7.9588,,
19921995,"1992 - 1995",5410,"Eastern Europe",02,"Exports",22.91178,,
19921995,"1992 - 1995",5410,"Eastern Europe",01,"Imports",19.17785,,
19921995,"1992 - 1995",5420,"Northern Europe",02,"Exports",10.38072,,
19921995,"1992 - 1995",5420,"Northern Europe",01,"Imports",8.86377,,
19921995,"1992 - 1995",5430,"Southern Europe",02,"Exports",10.43817,,
19921995,"1992 - 1995",5430,"Southern Europe",01,"Imports",4.82738,,
19921995,"1992 - 1995",5440,"Western Europe",02,"Exports",9.42889,,
19921995,"1992 - 1995",5440,"Western Europe",01,"Imports",7.38656,,
19921995,"1992 - 1995",5500,"Oceania",02,"Exports",9.01391,,
19921995,"1992 - 1995",5500,"Oceania",01,"Imports",12.31191,,
19921995,"1992 - 1995",0001,"Individual economies",02,"Exports",,,"Not applicable"
19921995,"1992 - 1995",0001,"Individual economies",01,"Imports",,,"Not applicable"
19921995,"1992 - 1995",004,"Afghanistan",02,"Exports",-19.25121,,
19921995,"1992 - 1995",004,"Afghanistan",01,"Imports",-2.54127,,
19921995,"1992 - 1995",008,"Albania",02,"Exports",39.24081,,
19921995,"1992 - 1995",008,"Albania",01,"Imports",9.28058,,
19921995,"1992 - 1995",012,"Algeria",02,"Exports",-4.90589,,
19921995,"1992 - 1995",012,"Algeria",01,"Imports",6.46391,,
19921995,"1992 - 1995",016,"American Samoa",02,"Exports",-10.34562,,
19921995,"1992 - 1995",016,"American Samoa",01,"Imports",0.48074,,
19921995,"1992 - 1995",020,"Andorra",02,"Exports",10.54237,"Estimated",
19921995,"1992 - 1995",020,"Andorra",01,"Imports",10.79671,"Estimated",
19921995,"1992 - 1995",024,"Angola",02,"Exports",-3.07205,,
19921995,"1992 - 1995",024,"Angola",01,"Imports",-8.75167,,
19921995,"1992 - 1995",028,"Antigua and Barbuda",02,"Exports",-8.90217,,
19921995,"1992 - 1995",028,"Antigua and Barbuda",01,"Imports",3.66902,,
19921995,"1992 - 1995",032,"Argentina",02,"Exports",19.76893,,
19921995,"1992 - 1995",032,"Argentina",01,"Imports",12.28654,,
19921995,"1992 - 1995",051,"Armenia",02,"Exports",47.31703,,
19921995,"1992 - 1995",051,"Armenia",01,"Imports",49.10484,,
19921995,"1992 - 1995",533,"Aruba",02,"Exports",7.28694,,
19921995,"1992 - 1995",533,"Aruba",01,"Imports",6.54112,,
19921995,"1992 - 1995",036,"Australia",02,"Exports",7.81477,,
19921995,"1992 - 1995",036,"Australia",01,"Imports",12.36696,,
19921995,"1992 - 1995",040,"Austria",02,"Exports",9.19568,,
19921995,"1992 - 1995",040,"Austria",01,"Imports",7.50806,,
19921995,"1992 - 1995",031,"Azerbaijan",02,"Exports",-26.90716,,
19921995,"1992 - 1995",031,"Azerbaijan",01,"Imports",-9.53237,,
19921995,"1992 - 1995",044,"Bahamas",02,"Exports",-2.36375,,
19921995,"1992 - 1995",044,"Bahamas",01,"Imports",6.64888,,
19921995,"1992 - 1995",048,"Bahrain",02,"Exports",4.99324,,
19921995,"1992 - 1995",048,"Bahrain",01,"Imports",-4.28223,,
19921995,"1992 - 1995",050,"Bangladesh",02,"Exports",18.43278,,
19921995,"1992 - 1995",050,"Bangladesh",01,"Imports",20.86369,,
19921995,"1992 - 1995",052,"Barbados",02,"Exports",6.76767,,
19921995,"1992 - 1995",052,"Barbados",01,"Imports",12.95584,,
19921995,"1992 - 1995",112,"Belarus",02,"Exports",12.09606,,
19921995,"1992 - 1995",112,"Belarus",01,"Imports",17.16028,,
19921995,"1992 - 1995",056,"Belgium",02,"Exports",13.13779,,
19921995,"1992 - 1995",056,"Belgium",01,"Imports",9.74756,,
19921995,"1992 - 1995",084,"Belize",02,"Exports",6.3624,,
19921995,"1992 - 1995",084,"Belize",01,"Imports",-2.64166,,
19921995,"1992 - 1995",204,"Benin",02,"Exports",7.36623,,
19921995,"1992 - 1995",204,"Benin",01,"Imports",4.93753,,
19921995,"1992 - 1995",060,"Bermuda",02,"Exports",-12.16828,,
19921995,"1992 - 1995",060,"Bermuda",01,"Imports",-0.33356,,
19921995,"1992 - 1995",064,"Bhutan",02,"Exports",14.48163,,
19921995,"1992 - 1995",064,"Bhutan",01,"Imports",-2.97562,,
19921995,"1992 - 1995",068,"Bolivia (Plurinational State of)",02,"Exports",18.11535,,
19921995,"1992 - 1995",068,"Bolivia (Plurinational State of)",01,"Imports",8.36334,,
19921995,"1992 - 1995",535,"Bonaire, Sint Eustatius and Saba",02,"Exports",,,"Not applicable"
19921995,"1992 - 1995",535,"Bonaire, Sint Eustatius and Saba",01,"Imports",,,"Not applicable"
19921995,"1992 - 1995",070,"Bosnia and Herzegovina",02,"Exports",-16.74465,"Estimated",
19921995,"1992 - 1995",070,"Bosnia and Herzegovina",01,"Imports",52.15348,"Estimated",
19921995,"1992 - 1995",072,"Botswana",02,"Exports",6.85656,,
19921995,"1992 - 1995",072,"Botswana",01,"Imports",-0.3712,,
19921995,"1992 - 1995",076,"Brazil",02,"Exports",9.49649,,
19921995,"1992 - 1995",076,"Brazil",01,"Imports",32.62887,,
19921995,"1992 - 1995",092,"British Virgin Islands",02,"Exports",7.1401,"Estimated",
19921995,"1992 - 1995",092,"British Virgin Islands",01,"Imports",6.61669,"Estimated",
19921995,"1992 - 1995",096,"Brunei Darussalam",02,"Exports",0.2092,,
19921995,"1992 - 1995",096,"Brunei Darussalam",01,"Imports",11.07284,,
19921995,"1992 - 1995",100,"Bulgaria",02,"Exports",14.40139,"Estimated",
19921995,"1992 - 1995",100,"Bulgaria",01,"Imports",8.48396,"Estimated",
19921995,"1992 - 1995",854,"Burkina Faso",02,"Exports",62.23717,,
19921995,"1992 - 1995",854,"Burkina Faso",01,"Imports",-4.40368,,
19921995,"1992 - 1995",108,"Burundi",02,"Exports",19.48367,,
19921995,"1992 - 1995",108,"Burundi",01,"Imports",3.09254,,
19921995,"1992 - 1995",132,"Cabo Verde",02,"Exports",21.74458,,
19921995,"1992 - 1995",132,"Cabo Verde",01,"Imports",14.12379,,
19921995,"1992 - 1995",116,"Cambodia",02,"Exports",50.07344,,
19921995,"1992 - 1995",116,"Cambodia",01,"Imports",40.68485,,
19921995,"1992 - 1995",120,"Cameroon",02,"Exports",-5.82591,,
19921995,"1992 - 1995",120,"Cameroon",01,"Imports",0.754,,
19921995,"1992 - 1995",124,"Canada",02,"Exports",12.77985,,
19921995,"1992 - 1995",124,"Canada",01,"Imports",9.37656,,
19921995,"1992 - 1995",136,"Cayman Islands",02,"Exports",12.40341,"Estimated",
19921995,"1992 - 1995",136,"Cayman Islands",01,"Imports",6.08255,"Estimated",
19921995,"1992 - 1995",140,"Central African Republic",02,"Exports",18.81196,,
19921995,"1992 - 1995",140,"Central African Republic",01,"Imports",6.66148,,
19921995,"1992 - 1995",148,"Chad",02,"Exports",10.39757,,
19921995,"1992 - 1995",148,"Chad",01,"Imports",11.60928,,
19921995,"1992 - 1995",152,"Chile",02,"Exports",17.8759,,
19921995,"1992 - 1995",152,"Chile",01,"Imports",14.98423,,
19921995,"1992 - 1995",156,"China",02,"Exports",21.63333,,
19921995,"1992 - 1995",156,"China",01,"Imports",17.21227,,
19921995,"1992 - 1995",344,"China, Hong Kong SAR",02,"Exports",13.14574,,
19921995,"1992 - 1995",344,"China, Hong Kong SAR",01,"Imports",15.66379,,
19921995,"1992 - 1995",446,"China, Macao SAR",02,"Exports",4.20653,,
19921995,"1992 - 1995",446,"China, Macao SAR",01,"Imports",0.99303,,
19921995,"1992 - 1995",158,"China, Taiwan Province of",02,"Exports",11.12659,,
19921995,"1992 - 1995",158,"China, Taiwan Province of",01,"Imports",12.57812,,
19921995,"1992 - 1995",170,"Colombia",02,"Exports",14.17869,,
19921995,"1992 - 1995",170,"Colombia",01,"Imports",27.42145,"Break",
19921995,"1992 - 1995",174,"Comoros",02,"Exports",-24.08145,,
19921995,"1992 - 1995",174,"Comoros",01,"Imports",-3.65734,,
19921995,"1992 - 1995",178,"Congo",02,"Exports",-1.23288,,
19921995,"1992 - 1995",178,"Congo",01,"Imports",13.47044,,
19921995,"1992 - 1995",184,"Cook Islands",02,"Exports",11.49332,,
19921995,"1992 - 1995",184,"Cook Islands",01,"Imports",-4.76653,,
19921995,"1992 - 1995",188,"Costa Rica",02,"Exports",22.12627,"Break",
19921995,"1992 - 1995",188,"Costa Rica",01,"Imports",17.62933,"Break",
19921995,"1992 - 1995",384,"Cote d'Ivoire",02,"Exports",9.42726,,
19921995,"1992 - 1995",384,"Cote d'Ivoire",01,"Imports",5.85469,,
19921995,"1992 - 1995",191,"Croatia",02,"Exports",0.66013,,
19921995,"1992 - 1995",191,"Croatia",01,"Imports",18.17903,,
19921995,"1992 - 1995",192,"Cuba",02,"Exports",3.31062,"Estimated",
19921995,"1992 - 1995",192,"Cuba",01,"Imports",24.7815,"Estimated",
19921995,"1992 - 1995",531,"Curacao",02,"Exports",,,"Not applicable"
19921995,"1992 - 1995",531,"Curacao",01,"Imports",,,"Not applicable"
19921995,"1992 - 1995",196,"Cyprus",02,"Exports",7.95928,,
19921995,"1992 - 1995",196,"Cyprus",01,"Imports",4.91673,,
19921995,"1992 - 1995",203,"Czechia",02,"Exports",,,"Not applicable"
19921995,"1992 - 1995",203,"Czechia",01,"Imports",,,"Not applicable"
19921995,"1992 - 1995",200,"Czechoslovakia",02,"Exports",,,"Not applicable"
19921995,"1992 - 1995",200,"Czechoslovakia",01,"Imports",,,"Not applicable"
19921995,"1992 - 1995",408,"Dem. People's Rep. of Korea",02,"Exports",-1.40811,"Estimated",
19921995,"1992 - 1995",408,"Dem. People's Rep. of Korea",01,"Imports",-8.66914,"Estimated",
19921995,"1992 - 1995",180,"Dem. Rep. of the Congo",02,"Exports",8.04101,,
19921995,"1992 - 1995",180,"Dem. Rep. of the Congo",01,"Imports",-1.29078,,
19921995,"1992 - 1995",278,"Democratic Republic of Germany",02,"Exports",,,"Not applicable"
19921995,"1992 - 1995",278,"Democratic Republic of Germany",01,"Imports",,,"Not applicable"
19921995,"1992 - 1995",208,"Denmark",02,"Exports",7.47152,"Break",
19921995,"1992 - 1995",208,"Denmark",01,"Imports",9.55095,"Break",
19921995,"1992 - 1995",262,"Djibouti",02,"Exports",-4.75862,,
19921995,"1992 - 1995",262,"Djibouti",01,"Imports",-6.90558,,
19921995,"1992 - 1995",212,"Dominica",02,"Exports",-5.11303,,
19921995,"1992 - 1995",212,"Dominica",01,"Imports",2.38444,,
19921995,"1992 - 1995",214,"Dominican Republic",02,"Exports",9.85535,,
19921995,"1992 - 1995",214,"Dominican Republic",01,"Imports",9.74084,,
19921995,"1992 - 1995",218,"Ecuador",02,"Exports",14.47514,,
19921995,"1992 - 1995",218,"Ecuador",01,"Imports",21.11791,,
19921995,"1992 - 1995",818,"Egypt",02,"Exports",4.75241,,
19921995,"1992 - 1995",818,"Egypt",01,"Imports",13.59932,,
19921995,"1992 - 1995",222,"El Salvador",02,"Exports",26.88707,"Break",
19921995,"1992 - 1995",222,"El Salvador",01,"Imports",21.24145,"Break",
19921995,"1992 - 1995",226,"Equatorial Guinea",02,"Exports",33.38454,,
19921995,"1992 - 1995",226,"Equatorial Guinea",01,"Imports",20.03214,,
19921995,"1992 - 1995",232,"Eritrea",02,"Exports",74.89361,,
19921995,"1992 - 1995",232,"Eritrea",01,"Imports",11.69303,,
19921995,"1992 - 1995",233,"Estonia",02,"Exports",60.75781,,
19921995,"1992 - 1995",233,"Estonia",01,"Imports",83.63675,,
19921995,"1992 - 1995",748,"Eswatini",02,"Exports",11.21229,,
19921995,"1992 - 1995",748,"Eswatini",01,"Imports",5.38576,,
19921995,"1992 - 1995",231,"Ethiopia",02,"Exports",40.20368,"Break",
19921995,"1992 - 1995",231,"Ethiopia",01,"Imports",12.8145,"Break",
19921995,"1992 - 1995",230,"Ethiopia (...1991)",02,"Exports",,,"Not applicable"
19921995,"1992 - 1995",230,"Ethiopia (...1991)",01,"Imports",,,"Not applicable"
19921995,"1992 - 1995",238,"Falkland Islands (Malvinas)",02,"Exports",36.73503,"Estimated",
19921995,"1992 - 1995",238,"Falkland Islands (Malvinas)",01,"Imports",8.73111,"Estimated",
19921995,"1992 - 1995",234,"Faroe Islands",02,"Exports",-5.62247,,
19921995,"1992 - 1995",234,"Faroe Islands",01,"Imports",-0.70801,,
19921995,"1992 - 1995",280,"Federal Republic of Germany",02,"Exports",,,"Not applicable"
19921995,"1992 - 1995",280,"Federal Republic of Germany",01,"Imports",,,"Not applicable"
19921995,"1992 - 1995",242,"Fiji",02,"Exports",13.24119,,
19921995,"1992 - 1995",242,"Fiji",01,"Imports",12.74707,,
19921995,"1992 - 1995",246,"Finland",02,"Exports",19.79886,,
19921995,"1992 - 1995",246,"Finland",01,"Imports",13.22697,,
19921995,"1992 - 1995",250,"France",02,"Exports",8.92188,"Break",
19921995,"1992 - 1995",250,"France",01,"Imports",7.09411,"Break",
19921995,"1992 - 1995",254,"French Guiana",02,"Exports",18.43381,,
19921995,"1992 - 1995",254,"French Guiana",01,"Imports",6.19853,,
19921995,"1992 - 1995",258,"French Polynesia",02,"Exports",24.67602,,
19921995,"1992 - 1995",258,"French Polynesia",01,"Imports",3.9827,,
19921995,"1992 - 1995",266,"Gabon",02,"Exports",8.52915,,
19921995,"1992 - 1995",266,"Gabon",01,"Imports",6.00951,,
19921995,"1992 - 1995",270,"Gambia",02,"Exports",-35.61378,,
19921995,"1992 - 1995",270,"Gambia",01,"Imports",-7.17847,,
19921995,"1992 - 1995",268,"Georgia",02,"Exports",37.74907,,
19921995,"1992 - 1995",268,"Georgia",01,"Imports",26.48945,,
19921995,"1992 - 1995",276,"Germany",02,"Exports",7.29683,"Break",
19921995,"1992 - 1995",276,"Germany",01,"Imports",4.98018,"Break",
19921995,"1992 - 1995",288,"Ghana",02,"Exports",14.2399,,
19921995,"1992 - 1995",288,"Ghana",01,"Imports",-5.67201,"Estimated",
19921995,"1992 - 1995",292,"Gibraltar",02,"Exports",24.5672,,
19921995,"1992 - 1995",292,"Gibraltar",01,"Imports",-2.94602,,
19921995,"1992 - 1995",300,"Greece",02,"Exports",4.6494,"Break",
19921995,"1992 - 1995",300,"Greece",01,"Imports",3.07417,"Break",
19921995,"1992 - 1995",304,"Greenland",02,"Exports",2.33141,,
19921995,"1992 - 1995",304,"Greenland",01,"Imports",-0.99879,,
19921995,"1992 - 1995",308,"Grenada",02,"Exports",4.20087,,
19921995,"1992 - 1995",308,"Grenada",01,"Imports",4.58527,,
19921995,"1992 - 1995",312,"Guadeloupe",02,"Exports",6.81404,,
19921995,"1992 - 1995",312,"Guadeloupe",01,"Imports",7.23081,,
19921995,"1992 - 1995",316,"Guam",02,"Exports",0.61302,,
19921995,"1992 - 1995",316,"Guam",01,"Imports",7.30997,,
19921995,"1992 - 1995",320,"Guatemala",02,"Exports",15.42845,,
19921995,"1992 - 1995",320,"Guatemala",01,"Imports",8.93916,,
19921995,"1992 - 1995",324,"Guinea",02,"Exports",8.67094,,
19921995,"1992 - 1995",324,"Guinea",01,"Imports",2.72724,,
19921995,"1992 - 1995",624,"Guinea-Bissau",02,"Exports",70.71217,,
19921995,"1992 - 1995",624,"Guinea-Bissau",01,"Imports",21.47635,,
19921995,"1992 - 1995",328,"Guyana",02,"Exports",14.4483,,
19921995,"1992 - 1995",328,"Guyana",01,"Imports",5.88111,,
19921995,"1992 - 1995",332,"Haiti",02,"Exports",13.26604,,
19921995,"1992 - 1995",332,"Haiti",01,"Imports",24.77194,,
19921995,"1992 - 1995",340,"Honduras",02,"Exports",19.47824,,
19921995,"1992 - 1995",340,"Honduras",01,"Imports",18.59842,,
19921995,"1992 - 1995",348,"Hungary",02,"Exports",7.62717,"Estimated",
19921995,"1992 - 1995",348,"Hungary",01,"Imports",12.18871,"Estimated",
19921995,"1992 - 1995",352,"Iceland",02,"Exports",6.64879,,
19921995,"1992 - 1995",352,"Iceland",01,"Imports",2.24344,,
19921995,"1992 - 1995",356,"India",02,"Exports",15.99205,,
19921995,"1992 - 1995",356,"India",01,"Imports",14.15123,,
19921995,"1992 - 1995",360,"Indonesia",02,"Exports",,,"Not applicable"
19921995,"1992 - 1995",360,"Indonesia",01,"Imports",,,"Not applicable"
19921995,"1992 - 1995",960,"Indonesia (...2002)",02,"Exports",10.89565,,
19921995,"1992 - 1995",960,"Indonesia (...2002)",01,"Imports",14.03291,,
19921995,"1992 - 1995",364,"Iran (Islamic Republic of)",02,"Exports",-1.63243,,
19921995,"1992 - 1995",364,"Iran (Islamic Republic of)",01,"Imports",-20.61162,,
19921995,"1992 - 1995",368,"Iraq",02,"Exports",-1.38028,,
19921995,"1992 - 1995",368,"Iraq",01,"Imports",2.30306,,
19921995,"1992 - 1995",372,"Ireland",02,"Exports",16.25025,"Break",
19921995,"1992 - 1995",372,"Ireland",01,"Imports",13.65693,"Break",
19921995,"1992 - 1995",376,"Israel",02,"Exports",13.29798,,
19921995,"1992 - 1995",376,"Israel",01,"Imports",13.26522,,
19921995,"1992 - 1995",380,"Italy",02,"Exports",9.83306,"Break",
19921995,"1992 - 1995",380,"Italy",01,"Imports",4.08103,"Break",
19921995,"1992 - 1995",388,"Jamaica",02,"Exports",11.10004,,
19921995,"1992 - 1995",388,"Jamaica",01,"Imports",17.36924,,
19921995,"1992 - 1995",392,"Japan",02,"Exports",9.28437,,
19921995,"1992 - 1995",392,"Japan",01,"Imports",13.0232,,
19921995,"1992 - 1995",400,"Jordan",02,"Exports",13.45037,,
19921995,"1992 - 1995",400,"Jordan",01,"Imports",3.43252,,
19921995,"1992 - 1995",398,"Kazakhstan",02,"Exports",15.36971,"Estimated",
19921995,"1992 - 1995",398,"Kazakhstan",01,"Imports",-2.08945,"Estimated",
19921995,"1992 - 1995",404,"Kenya",02,"Exports",12.28658,,
19921995,"1992 - 1995",404,"Kenya",01,"Imports",17.58128,,
19921995,"1992 - 1995",296,"Kiribati",02,"Exports",19.95792,,
19921995,"1992 - 1995",296,"Kiribati",01,"Imports",-2.02194,,
19921995,"1992 - 1995",414,"Kuwait",02,"Exports",23.25675,,
19921995,"1992 - 1995",414,"Kuwait",01,"Imports",1.62902,,
19921995,"1992 - 1995",417,"Kyrgyzstan",02,"Exports",7.9488,,
19921995,"1992 - 1995",417,"Kyrgyzstan",01,"Imports",3.67887,,
19921995,"1992 - 1995",418,"Lao People's Dem. Rep.",02,"Exports",32.02245,,
19921995,"1992 - 1995",418,"Lao People's Dem. Rep.",01,"Imports",29.76595,,
19921995,"1992 - 1995",428,"Latvia",02,"Exports",16.73184,,
19921995,"1992 - 1995",428,"Latvia",01,"Imports",32.87308,,
19921995,"1992 - 1995",422,"Lebanon",02,"Exports",5.28942,,
19921995,"1992 - 1995",422,"Lebanon",01,"Imports",20.38468,,
19921995,"1992 - 1995",426,"Lesotho",02,"Exports",13.06393,,
19921995,"1992 - 1995",426,"Lesotho",01,"Imports",6.17669,,
19921995,"1992 - 1995",430,"Liberia",02,"Exports",7.97439,"Estimated",
19921995,"1992 - 1995",430,"Liberia",01,"Imports",9.52892,"Estimated",
19921995,"1992 - 1995",434,"Libya",02,"Exports",-4.15494,,
19921995,"1992 - 1995",434,"Libya",01,"Imports",-2.57194,,
19921995,"1992 - 1995",440,"Lithuania",02,"Exports",9.02654,"Break",
19921995,"1992 - 1995",440,"Lithuania",01,"Imports",16.52381,"Break",
19921995,"1992 - 1995",442,"Luxembourg",02,"Exports",6.71284,,
19921995,"1992 - 1995",442,"Luxembourg",01,"Imports",6.16537,,
19921995,"1992 - 1995",450,"Madagascar",02,"Exports",17.47754,,
19921995,"1992 - 1995",450,"Madagascar",01,"Imports",9.67422,,
19921995,"1992 - 1995",454,"Malawi",02,"Exports",1.35518,,
19921995,"1992 - 1995",454,"Malawi",01,"Imports",-13.22556,,
19921995,"1992 - 1995",458,"Malaysia",02,"Exports",22.22325,,
19921995,"1992 - 1995",458,"Malaysia",01,"Imports",25.47092,,
19921995,"1992 - 1995",462,"Maldives",02,"Exports",12.27716,,
19921995,"1992 - 1995",462,"Maldives",01,"Imports",12.63107,,
19921995,"1992 - 1995",466,"Mali",02,"Exports",4.0905,,
19921995,"1992 - 1995",466,"Mali",01,"Imports",6.68062,,
19921995,"1992 - 1995",470,"Malta",02,"Exports",8.26863,,
19921995,"1992 - 1995",470,"Malta",01,"Imports",8.24599,,
19921995,"1992 - 1995",584,"Marshall Islands",02,"Exports",46.3474,,
19921995,"1992 - 1995",584,"Marshall Islands",01,"Imports",7.33228,,
19921995,"1992 - 1995",474,"Martinique",02,"Exports",-0.75884,,
19921995,"1992 - 1995",474,"Martinique",01,"Imports",3.4561,,
19921995,"1992 - 1995",478,"Mauritania",02,"Exports",3.92616,,
19921995,"1992 - 1995",478,"Mauritania",01,"Imports",-0.32267,,
19921995,"1992 - 1995",480,"Mauritius",02,"Exports",5.49685,,
19921995,"1992 - 1995",480,"Mauritius",01,"Imports",7.31241,,
19921995,"1992 - 1995",484,"Mexico",02,"Exports",19.60309,,
19921995,"1992 - 1995",484,"Mexico",01,"Imports",6.57258,,
19921995,"1992 - 1995",583,"Micronesia (Federated States of)",02,"Exports",-12.95174,,
19921995,"1992 - 1995",583,"Micronesia (Federated States of)",01,"Imports",-4.11487,,
19921995,"1992 - 1995",496,"Mongolia",02,"Exports",5.46805,,
19921995,"1992 - 1995",496,"Mongolia",01,"Imports",-4.17268,,
19921995,"1992 - 1995",499,"Montenegro",02,"Exports",,,"Not applicable"
19921995,"1992 - 1995",499,"Montenegro",01,"Imports",,,"Not applicable"
19921995,"1992 - 1995",500,"Montserrat",02,"Exports",12.93469,,
19921995,"1992 - 1995",500,"Montserrat",01,"Imports",-2.29709,,
19921995,"1992 - 1995",504,"Morocco",02,"Exports",22.81918,"Break",
19921995,"1992 - 1995",504,"Morocco",01,"Imports",12.0447,"Break",
19921995,"1992 - 1995",508,"Mozambique",02,"Exports",7.70129,,
19921995,"1992 - 1995",508,"Mozambique",01,"Imports",-5.04911,,
19921995,"1992 - 1995",104,"Myanmar",02,"Exports",18.79903,,
19921995,"1992 - 1995",104,"Myanmar",01,"Imports",25.07464,,
19921995,"1992 - 1995",516,"Namibia",02,"Exports",2.03879,,
19921995,"1992 - 1995",516,"Namibia",01,"Imports",7.84231,,
19921995,"1992 - 1995",520,"Nauru",02,"Exports",-6.45073,"Estimated",
19921995,"1992 - 1995",520,"Nauru",01,"Imports",-34.5174,"Estimated",
19921995,"1992 - 1995",524,"Nepal",02,"Exports",-2.55007,,
19921995,"1992 - 1995",524,"Nepal",01,"Imports",20.72848,,
19921995,"1992 - 1995",528,"Netherlands (Kingdom of the)",02,"Exports",14.07368,"Break",
19921995,"1992 - 1995",528,"Netherlands (Kingdom of the)",01,"Imports",12.71565,"Break",
19921995,"1992 - 1995",530,"Netherlands Antilles",02,"Exports",-0.01611,,
19921995,"1992 - 1995",530,"Netherlands Antilles",01,"Imports",-1.44951,,
19921995,"1992 - 1995",540,"New Caledonia",02,"Exports",10.39165,,
19921995,"1992 - 1995",540,"New Caledonia",01,"Imports",1.30316,,
19921995,"1992 - 1995",554,"New Zealand",02,"Exports",12.10287,,
19921995,"1992 - 1995",554,"New Zealand",01,"Imports",15.74439,,
19921995,"1992 - 1995",558,"Nicaragua",02,"Exports",27.44787,,
19921995,"1992 - 1995",558,"Nicaragua",01,"Imports",5.48663,,
19921995,"1992 - 1995",562,"Niger",02,"Exports",-6.55228,,
19921995,"1992 - 1995",562,"Niger",01,"Imports",-8.38878,,
19921995,"1992 - 1995",566,"Nigeria",02,"Exports",0.62039,,
19921995,"1992 - 1995",566,"Nigeria",01,"Imports",1.59192,,
19921995,"1992 - 1995",570,"Niue",02,"Exports",39.21968,,
19921995,"1992 - 1995",570,"Niue",01,"Imports",0.20769,"Estimated",
19921995,"1992 - 1995",807,"North Macedonia",02,"Exports",0.41685,,
19921995,"1992 - 1995",807,"North Macedonia",01,"Imports",13.61201,,
19921995,"1992 - 1995",580,"Northern Mariana Islands",02,"Exports",0.57558,"Estimated",
19921995,"1992 - 1995",580,"Northern Mariana Islands",01,"Imports",0.14,"Estimated",
19921995,"1992 - 1995",578,"Norway",02,"Exports",6.37664,,
19921995,"1992 - 1995",578,"Norway",01,"Imports",8.70102,,
19921995,"1992 - 1995",512,"Oman",02,"Exports",3.87128,,
19921995,"1992 - 1995",512,"Oman",01,"Imports",2.82,,
19921995,"1992 - 1995",586,"Pakistan",02,"Exports",3.67714,,
