Year,Series,Series Label,Economy,Economy Label,Flow,Flow Label,US$ at current prices in millions,US$ at current prices in millions Footnote,US$ at current prices in millions Missing value,Percentage of total trade in goods and services,Percentage of total trade in goods and services Footnote,Percentage of total trade in goods and services Missing value
2005,2102,"Total trade in services",096,"Brunei Darussalam",02,"Exports",616.113,,,8.98508,,
2005,2102,"Total trade in services",096,"Brunei Darussalam",01,"Imports",1110.13,,,44.01902,,
2005,2102,"Total trade in services",100,"Bulgaria",02,"Exports",4433.815,,,27.38959,,
2005,2102,"Total trade in services",100,"Bulgaria",01,"Imports",3407.495,,,16.5317,,
2005,2102,"Total trade in services",854,"Burkina Faso",02,"Exports",67.642,"Estimated",,12.3267,"Estimated",
2005,2102,"Total trade in services",854,"Burkina Faso",01,"Imports",359.367,,,25.77462,,
2005,2102,"Total trade in services",108,"Burundi",02,"Exports",34.793,,,36.39608,,
2005,2102,"Total trade in services",108,"Burundi",01,"Imports",134.081,,,41.51205,,
2005,2102,"Total trade in services",132,"Cabo Verde",02,"Exports",276.727,,,78.196,,
2005,2102,"Total trade in services",132,"Cabo Verde",01,"Imports",214.671,,,33.44058,,
2005,2102,"Total trade in services",116,"Cambodia",02,"Exports",1118.106,,,27.77706,,
2005,2102,"Total trade in services",116,"Cambodia",01,"Imports",641.805,,,14.05988,,
2005,2102,"Total trade in services",120,"Cameroon",02,"Exports",970.316,,,22.90188,,
2005,2102,"Total trade in services",120,"Cameroon",01,"Imports",1463.586,,,33.65879,,
2005,2102,"Total trade in services",124,"Canada",02,"Exports",61506.3,,,14.22384,,
2005,2102,"Total trade in services",124,"Canada",01,"Imports",65949.9,,,17.08426,,
2005,2102,"Total trade in services",136,"Cayman Islands",02,"Exports",,,"Not publishable",,,"Not publishable"
2005,2102,"Total trade in services",136,"Cayman Islands",01,"Imports",,,"Not publishable",,,"Not publishable"
2005,2102,"Total trade in services",140,"Central African Republic",02,"Exports",44.173,,,25.68909,,
2005,2102,"Total trade in services",140,"Central African Republic",01,"Imports",105.409,,,37.6184,,
2005,2102,"Total trade in services",148,"Chad",02,"Exports",107.874,,,3.35673,,
2005,2102,"Total trade in services",148,"Chad",01,"Imports",1566.92,,,65.89123,,
2005,2102,"Total trade in services",152,"Chile",02,"Exports",6658.5,,,13.76017,,
2005,2102,"Total trade in services",152,"Chile",01,"Imports",7883.2,,,20.47586,,
2005,2102,"Total trade in services",156,"China",02,"Exports",78468.7,,,10.22396,,
2005,2102,"Total trade in services",156,"China",01,"Imports",83970.7,,,12.94421,,
2005,2102,"Total trade in services",344,"China, Hong Kong SAR",02,"Exports",47373.307,,,14.70069,,
2005,2102,"Total trade in services",344,"China, Hong Kong SAR",01,"Imports",56244.857,,,18.74473,,
2005,2102,"Total trade in services",446,"China, Macao SAR",02,"Exports",7786.942,,,75.88549,,
2005,2102,"Total trade in services",446,"China, Macao SAR",01,"Imports",1504.209,,,23.80178,,
2005,2102,"Total trade in services",158,"China, Taiwan Province of",02,"Exports",18137,,,8.07909,,
2005,2102,"Total trade in services",158,"China, Taiwan Province of",01,"Imports",32457,,,15.14531,,
2005,2102,"Total trade in services",170,"Colombia",02,"Exports",2956.2,,,12.24203,,
2005,2102,"Total trade in services",170,"Colombia",01,"Imports",5261.1,,,20.74937,,
2005,2102,"Total trade in services",174,"Comoros",02,"Exports",42.734,,,74.80732,,
2005,2102,"Total trade in services",174,"Comoros",01,"Imports",45.837,,,33.11042,,
2005,2102,"Total trade in services",178,"Congo",02,"Exports",220.575,,,4.44012,,
2005,2102,"Total trade in services",178,"Congo",01,"Imports",1417.711,,,52.05069,,
2005,2102,"Total trade in services",184,"Cook Islands",02,"Exports",80.663,"Estimated",,93.90663,"Estimated",
2005,2102,"Total trade in services",184,"Cook Islands",01,"Imports",55.665,"Estimated",,40.73135,"Estimated",
2005,2102,"Total trade in services",188,"Costa Rica",02,"Exports",3197.1,,,36.4714,,
2005,2102,"Total trade in services",188,"Costa Rica",01,"Imports",1511.7,,,16.56343,,
2005,2102,"Total trade in services",384,"Cote d'Ivoire",02,"Exports",934.815,,,10.98885,,
2005,2102,"Total trade in services",384,"Cote d'Ivoire",01,"Imports",2272.292,,,30.82696,,
2005,2102,"Total trade in services",191,"Croatia",02,"Exports",9077.538,,,55.00077,,
2005,2102,"Total trade in services",191,"Croatia",01,"Imports",3611.642,,,17.50199,,
2005,2102,"Total trade in services",192,"Cuba",02,"Exports",7074.54,,,73.0846,,
2005,2102,"Total trade in services",192,"Cuba",01,"Imports",1015.232,,,12.01685,,
2005,2102,"Total trade in services",531,"Curacao",02,"Exports",,,"Not applicable",,,"Not applicable"
2005,2102,"Total trade in services",531,"Curacao",01,"Imports",,,"Not applicable",,,"Not applicable"
2005,2102,"Total trade in services",196,"Cyprus",02,"Exports",7177.393,,,82.29361,,
2005,2102,"Total trade in services",196,"Cyprus",01,"Imports",3425.003,,,37.18801,,
2005,2102,"Total trade in services",203,"Czechia",02,"Exports",13151.356,"Estimated",,15.51097,"Estimated",
2005,2102,"Total trade in services",203,"Czechia",01,"Imports",10809.644,,,13.24352,,
2005,2102,"Total trade in services",408,"Dem. People's Rep. of Korea",02,"Exports",,,"Not publishable",,,"Not publishable"
2005,2102,"Total trade in services",408,"Dem. People's Rep. of Korea",01,"Imports",,,"Not publishable",,,"Not publishable"
2005,2102,"Total trade in services",180,"Dem. Rep. of the Congo",02,"Exports",343.2,,,12.49818,,
2005,2102,"Total trade in services",180,"Dem. Rep. of the Congo",01,"Imports",1169.2,,,30.29329,,
2005,2102,"Total trade in services",208,"Denmark",02,"Exports",43860.601,,,34.96571,,
2005,2102,"Total trade in services",208,"Denmark",01,"Imports",38415.177,,,34.6393,,
2005,2102,"Total trade in services",262,"Djibouti",02,"Exports",248.367,,,86.27835,,
2005,2102,"Total trade in services",262,"Djibouti",01,"Imports",83.789,,,23.20337,,
2005,2102,"Total trade in services",212,"Dominica",02,"Exports",130.268,,,75.22242,,
2005,2102,"Total trade in services",212,"Dominica",01,"Imports",85.042,,,36.81888,,
2005,2102,"Total trade in services",214,"Dominican Republic",02,"Exports",6181.5,,,50.14928,,
2005,2102,"Total trade in services",214,"Dominican Republic",01,"Imports",1478.2,,,16.71321,,
2005,2102,"Total trade in services",218,"Ecuador",02,"Exports",1018.12,,,8.86879,,
2005,2102,"Total trade in services",218,"Ecuador",01,"Imports",2147.95,,,18.12417,,
2005,2102,"Total trade in services",818,"Egypt",02,"Exports",14642.6,,,47.67123,,
2005,2102,"Total trade in services",818,"Egypt",01,"Imports",10508.1,,,30.61239,,
2005,2102,"Total trade in services",222,"El Salvador",02,"Exports",1478.03,,,44.22816,,
2005,2102,"Total trade in services",222,"El Salvador",01,"Imports",1114.72,,,17.12788,,
2005,2102,"Total trade in services",226,"Equatorial Guinea",02,"Exports",36.4,,,0.51266,,
2005,2102,"Total trade in services",226,"Equatorial Guinea",01,"Imports",921.383,,,41.29493,,
2005,2102,"Total trade in services",232,"Eritrea",02,"Exports",,,"Not publishable",,,"Not publishable"
2005,2102,"Total trade in services",232,"Eritrea",01,"Imports",,,"Not publishable",,,"Not publishable"
2005,2102,"Total trade in services",233,"Estonia",02,"Exports",3472.735,,,37.64057,,
2005,2102,"Total trade in services",233,"Estonia",01,"Imports",2256.759,,,22.70793,,
2005,2102,"Total trade in services",748,"Eswatini",02,"Exports",203.326,,,11.36853,,
2005,2102,"Total trade in services",748,"Eswatini",01,"Imports",403.141,,,18.50466,,
2005,2102,"Total trade in services",231,"Ethiopia",02,"Exports",1012.13,,,52.45611,,
2005,2102,"Total trade in services",231,"Ethiopia",01,"Imports",1193.83,,,24.39032,,
2005,2102,"Total trade in services",238,"Falkland Islands (Malvinas)",02,"Exports",,,"No value reported or collected",,,"No value reported or collected"
2005,2102,"Total trade in services",238,"Falkland Islands (Malvinas)",01,"Imports",,,"No value reported or collected",,,"No value reported or collected"
2005,2102,"Total trade in services",234,"Faroe Islands",02,"Exports",132.511,,,18.00954,,
2005,2102,"Total trade in services",234,"Faroe Islands",01,"Imports",229.782,,,25.28728,,
2005,2102,"Total trade in services",242,"Fiji",02,"Exports",930.104,,,58.71834,,
2005,2102,"Total trade in services",242,"Fiji",01,"Imports",529.749,,,27.95616,,
2005,2102,"Total trade in services",246,"Finland",02,"Exports",12259.608,,,16.06925,,
2005,2102,"Total trade in services",246,"Finland",01,"Imports",17335.671,,,23.9159,,
2005,2102,"Total trade in services",250,"France",02,"Exports",156638.86,,,26.28068,,
2005,2102,"Total trade in services",250,"France",01,"Imports",133994.379,,,22.59947,,
2005,2102,"Total trade in services",258,"French Polynesia",02,"Exports",1073.87,,,83.52843,,
2005,2102,"Total trade in services",258,"French Polynesia",01,"Imports",721.834,,,31.18384,,
2005,2102,"Total trade in services",266,"Gabon",02,"Exports",145.516,,,2.59416,,
2005,2102,"Total trade in services",266,"Gabon",01,"Imports",1033.96,,,43.21112,,
2005,2102,"Total trade in services",270,"Gambia",02,"Exports",82.21,,,44.07218,,
2005,2102,"Total trade in services",270,"Gambia",01,"Imports",46.882,,,17.39669,,
2005,2102,"Total trade in services",268,"Georgia",02,"Exports",737.902,,,34.85505,,
2005,2102,"Total trade in services",268,"Georgia",01,"Imports",635.79,,,19.45984,,
2005,2102,"Total trade in services",276,"Germany",02,"Exports",166092.774,"Estimated",,15.29988,"Estimated",
2005,2102,"Total trade in services",276,"Germany",01,"Imports",209354.183,,,22.40848,,
2005,2102,"Total trade in services",288,"Ghana",02,"Exports",1106.49,,,28.30846,,
2005,2102,"Total trade in services",288,"Ghana",01,"Imports",1273.09,,,19.22983,,
2005,2102,"Total trade in services",292,"Gibraltar",02,"Exports",,,"Not publishable",,,"Not publishable"
2005,2102,"Total trade in services",292,"Gibraltar",01,"Imports",,,"Not publishable",,,"Not publishable"
2005,2102,"Total trade in services",300,"Greece",02,"Exports",33858.692,,,64.2466,,
2005,2102,"Total trade in services",300,"Greece",01,"Imports",16221.756,,,22.66923,,
2005,2102,"Total trade in services",304,"Greenland",02,"Exports",,,"Not publishable",,,"Not publishable"
2005,2102,"Total trade in services",304,"Greenland",01,"Imports",,,"Not publishable",,,"Not publishable"
2005,2102,"Total trade in services",308,"Grenada",02,"Exports",161.249,,,83.06917,,
2005,2102,"Total trade in services",308,"Grenada",01,"Imports",122.315,,,28.96552,,
2005,2102,"Total trade in services",316,"Guam",02,"Exports",,,"Not publishable",,,"Not publishable"
2005,2102,"Total trade in services",316,"Guam",01,"Imports",,,"Not publishable",,,"Not publishable"
2005,2102,"Total trade in services",320,"Guatemala",02,"Exports",1307.8,,,19.32528,,
2005,2102,"Total trade in services",320,"Guatemala",01,"Imports",1449.6,,,13.05981,,
2005,2102,"Total trade in services",324,"Guinea",02,"Exports",82.89,,,8.91875,,
2005,2102,"Total trade in services",324,"Guinea",01,"Imports",288.06,,,27.67253,,
2005,2102,"Total trade in services",624,"Guinea-Bissau",02,"Exports",5.168,,,5.45232,,
2005,2102,"Total trade in services",624,"Guinea-Bissau",01,"Imports",41.735,,,28.26369,,
2005,2102,"Total trade in services",328,"Guyana",02,"Exports",147.866,,,21.32179,,
2005,2102,"Total trade in services",328,"Guyana",01,"Imports",200.891,,,21.88424,,
2005,2102,"Total trade in services",332,"Haiti",02,"Exports",145.46,,,24.0398,,
2005,2102,"Total trade in services",332,"Haiti",01,"Imports",544.37,,,29.37967,,
2005,2102,"Total trade in services",340,"Honduras",02,"Exports",1773.844,,,49.15498,,
2005,2102,"Total trade in services",340,"Honduras",01,"Imports",929.439,,,17.21914,,
2005,2102,"Total trade in services",348,"Hungary",02,"Exports",13124.314,,,17.90076,,
2005,2102,"Total trade in services",348,"Hungary",01,"Imports",11762.15,,,15.78786,,
2005,2102,"Total trade in services",352,"Iceland",02,"Exports",2221.549,,,43.41048,,
2005,2102,"Total trade in services",352,"Iceland",01,"Imports",2414.465,,,34.00859,,
2005,2102,"Total trade in services",356,"India",02,"Exports",52178.952,,,33.75374,,
2005,2102,"Total trade in services",356,"India",01,"Imports",60635.6,"Estimated",,31.03812,"Estimated",
2005,2102,"Total trade in services",360,"Indonesia",02,"Exports",12997.2,,,13.76193,,
2005,2102,"Total trade in services",360,"Indonesia",01,"Imports",22196.8,,,25.72996,,
2005,2102,"Total trade in services",364,"Iran (Islamic Republic of)",02,"Exports",4999,,,7.19032,,
2005,2102,"Total trade in services",364,"Iran (Islamic Republic of)",01,"Imports",10841,"Estimated",,19.99373,"Estimated",
2005,2102,"Total trade in services",368,"Iraq",02,"Exports",355.2,,,1.47676,,
2005,2102,"Total trade in services",368,"Iraq",01,"Imports",6094.5,,,23.35353,,
2005,2102,"Total trade in services",372,"Ireland",02,"Exports",56554.278,,,33.6016,,
2005,2102,"Total trade in services",372,"Ireland",01,"Imports",73467.913,,,50.59017,,
2005,2102,"Total trade in services",376,"Israel",02,"Exports",17348.5,,,29.87309,,
2005,2102,"Total trade in services",376,"Israel",01,"Imports",14337,,,24.62382,,
2005,2102,"Total trade in services",380,"Italy",02,"Exports",92015.863,,,20.15391,,
2005,2102,"Total trade in services",380,"Italy",01,"Imports",94751.334,"Estimated",,20.60921,"Estimated",
2005,2102,"Total trade in services",388,"Jamaica",02,"Exports",2329.67,,,58.32939,,
2005,2102,"Total trade in services",388,"Jamaica",01,"Imports",1722.03,,,28.85661,,
2005,2102,"Total trade in services",392,"Japan",02,"Exports",102029,,,15.13449,,
2005,2102,"Total trade in services",392,"Japan",01,"Imports",139030,,,23.008,,
2005,2102,"Total trade in services",400,"Jordan",02,"Exports",2412.41,,,35.95239,,
2005,2102,"Total trade in services",400,"Jordan",01,"Imports",2542.03,,,21.55977,,
2005,2102,"Total trade in services",398,"Kazakhstan",02,"Exports",2087.32,,,6.60973,,
2005,2102,"Total trade in services",398,"Kazakhstan",01,"Imports",7521.3,,,29.55301,,
2005,2102,"Total trade in services",404,"Kenya",02,"Exports",1882.77,,,35.29334,,
2005,2102,"Total trade in services",404,"Kenya",01,"Imports",1152.26,,,17.09889,,
2005,2102,"Total trade in services",296,"Kiribati",02,"Exports",11.412,,,68.28654,,
2005,2102,"Total trade in services",296,"Kiribati",01,"Imports",44.469,,,36.04552,,
2005,2102,"Total trade in services",412,"Kosovo",02,"Exports",,,"Not applicable",,,"Not applicable"
2005,2102,"Total trade in services",412,"Kosovo",01,"Imports",,,"Not applicable",,,"Not applicable"
2005,2102,"Total trade in services",414,"Kuwait",02,"Exports",4774.66,,,9.53456,,
2005,2102,"Total trade in services",414,"Kuwait",01,"Imports",8714.73,,,36.66557,,
2005,2102,"Total trade in services",417,"Kyrgyzstan",02,"Exports",259.416,,,36.25426,,
2005,2102,"Total trade in services",417,"Kyrgyzstan",01,"Imports",290.258,,,20.79508,,
2005,2102,"Total trade in services",418,"Lao People's Dem. Rep.",02,"Exports",204.235,,,26.96834,,
2005,2102,"Total trade in services",418,"Lao People's Dem. Rep.",01,"Imports",38.967,,,4.23127,,
2005,2102,"Total trade in services",428,"Latvia",02,"Exports",2466.726,,,33.85789,,
2005,2102,"Total trade in services",428,"Latvia",01,"Imports",1602.18,,,16.43667,,
2005,2102,"Total trade in services",422,"Lebanon",02,"Exports",10864.1,,,82.90279,,
2005,2102,"Total trade in services",422,"Lebanon",01,"Imports",7890.19,,,47.7756,,
2005,2102,"Total trade in services",426,"Lesotho",02,"Exports",36.05,,,5.37782,,
2005,2102,"Total trade in services",426,"Lesotho",01,"Imports",366.576,,,22.13624,,
2005,2102,"Total trade in services",430,"Liberia",02,"Exports",213.239,,,61.71863,,
2005,2102,"Total trade in services",430,"Liberia",01,"Imports",855.485,,,73.63031,,
2005,2102,"Total trade in services",434,"Libya",02,"Exports",534,,,1.81738,,
2005,2102,"Total trade in services",434,"Libya",01,"Imports",2349,,,17.37041,,
2005,2102,"Total trade in services",440,"Lithuania",02,"Exports",3119.095,,,21.68099,,
2005,2102,"Total trade in services",440,"Lithuania",01,"Imports",2073.119,,,12.73847,,
2005,2102,"Total trade in services",442,"Luxembourg",02,"Exports",40326.971,,,73.70852,,
2005,2102,"Total trade in services",442,"Luxembourg",01,"Imports",26184.647,,,58.39001,,
2005,2102,"Total trade in services",450,"Madagascar",02,"Exports",494.288,,,37.30296,,
2005,2102,"Total trade in services",450,"Madagascar",01,"Imports",701.491,,,32.61833,,
2005,2102,"Total trade in services",454,"Malawi",02,"Exports",67.32,,,11.05984,,
2005,2102,"Total trade in services",454,"Malawi",01,"Imports",159.368,,,12.17169,,
2005,2102,"Total trade in services",458,"Malaysia",02,"Exports",19749.7,,,12.25984,,
2005,2102,"Total trade in services",458,"Malaysia",01,"Imports",21955.7,,,16.96518,,
2005,2102,"Total trade in services",462,"Maldives",02,"Exports",322.879,,,66.63946,,
2005,2102,"Total trade in services",462,"Maldives",01,"Imports",213.071,,,24.53175,,
2005,2102,"Total trade in services",466,"Mali",02,"Exports",274.42,,,19.94737,,
2005,2102,"Total trade in services",466,"Mali",01,"Imports",590.185,,,32.17696,,
2005,2102,"Total trade in services",470,"Malta",02,"Exports",4152.237,,,62.72642,,
2005,2102,"Total trade in services",470,"Malta",01,"Imports",3263.248,,,47.07051,,
2005,2102,"Total trade in services",584,"Marshall Islands",02,"Exports",12.689,,,35.09836,,
