Period,Period Label,Economy,Economy Label,Annual average growth rate,Annual average growth rate Footnote,Annual average growth rate Missing value,Annual average growth rate per capita,Annual average growth rate per capita Footnote,Annual average growth rate per capita Missing value
19921995,"1992 - 1995",300,"Greece",0.91303,,,0.40053,,
19921995,"1992 - 1995",304,"Greenland",1.87011,,,1.82393,,
19921995,"1992 - 1995",308,"Grenada",0.92028,,,0.18064,,
19921995,"1992 - 1995",320,"Guatemala",4.27695,,,1.54027,,
19921995,"1992 - 1995",324,"Guinea",4.51787,,,1.47853,,
19921995,"1992 - 1995",624,"Guinea-Bissau",3.07039,,,0.03808,,
19921995,"1992 - 1995",328,"Guyana",7.35786,,,6.95593,,
19921995,"1992 - 1995",332,"Haiti",0.31022,,,-1.60911,,
19921995,"1992 - 1995",340,"Honduras",2.51924,,,-0.34776,,
19921995,"1992 - 1995",348,"Hungary",1.44347,,,1.60339,,
19921995,"1992 - 1995",352,"Iceland",1.86162,,,1.03369,,
19921995,"1992 - 1995",356,"India",6.35523,,,4.19549,,
19921995,"1992 - 1995",360,"Indonesia",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",960,"Indonesia (...2002)",7.65743,,,5.85516,,
19921995,"1992 - 1995",364,"Iran (Islamic Republic of)",-0.41706,,,-0.92891,,
19921995,"1992 - 1995",368,"Iraq",3.99626,,,-0.43528,,
19921995,"1992 - 1995",372,"Ireland",5.96625,,,5.46232,,
19921995,"1992 - 1995",376,"Israel",6.82559,,,4.1176,,
19921995,"1992 - 1995",380,"Italy",1.45867,,,1.26674,,
19921995,"1992 - 1995",388,"Jamaica",1.2547,,,0.22511,,
19921995,"1992 - 1995",392,"Japan",1.02379,,,0.67584,,
19921995,"1992 - 1995",400,"Jordan",5.19246,,,0.35767,,
19921995,"1992 - 1995",398,"Kazakhstan",-10.29265,,,-9.21412,,
19921995,"1992 - 1995",404,"Kenya",2.46901,,,-0.46363,,
19921995,"1992 - 1995",296,"Kiribati",0.33626,,,-1.16319,,
19921995,"1992 - 1995",412,"Kosovo",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",414,"Kuwait",13.25341,,,12.35599,,
19921995,"1992 - 1995",417,"Kyrgyzstan",-14.51199,,,-15.17478,,
19921995,"1992 - 1995",418,"Lao People's Dem. Rep.",7.09152,,,4.34221,,
19921995,"1992 - 1995",428,"Latvia",-4.41801,,,-2.79497,,
19921995,"1992 - 1995",422,"Lebanon",7.25927,,,5.30309,,
19921995,"1992 - 1995",426,"Lesotho",3.76601,,,2.36261,,
19921995,"1992 - 1995",430,"Liberia",-20.64831,,,-21.70764,,
19921995,"1992 - 1995",434,"Libya",-1.05228,,,-2.87715,,
19921995,"1992 - 1995",438,"Liechtenstein",1.75713,,,0.3076,,
19921995,"1992 - 1995",440,"Lithuania",-8.10392,,,-7.50781,,
19921995,"1992 - 1995",442,"Luxembourg",3.21144,,,1.82298,,
19921995,"1992 - 1995",450,"Madagascar",1.10923,,,-1.98365,,
19921995,"1992 - 1995",454,"Malawi",0.73566,,,0.80825,,
19921995,"1992 - 1995",458,"Malaysia",9.60156,,,6.84489,,
19921995,"1992 - 1995",462,"Maldives",6.62907,,,4.06465,,
19921995,"1992 - 1995",466,"Mali",14.54486,,,12.12362,,
19921995,"1992 - 1995",470,"Malta",5.50488,,,4.60555,,
19921995,"1992 - 1995",584,"Marshall Islands",7.42542,,,6.01547,,
19921995,"1992 - 1995",478,"Mauritania",3.71276,,,0.25066,,
19921995,"1992 - 1995",480,"Mauritius",4.52975,,,3.24694,,
19921995,"1992 - 1995",484,"Mexico",0.87184,,,-0.94332,,
19921995,"1992 - 1995",583,"Micronesia (Federated States of)",3.79549,,,2.04624,,
19921995,"1992 - 1995",492,"Monaco",1.37804,,,0.60077,,
19921995,"1992 - 1995",496,"Mongolia",1.74827,,,0.3259,,
19921995,"1992 - 1995",499,"Montenegro",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",500,"Montserrat",-1.25442,,,5.30282,,
19921995,"1992 - 1995",504,"Morocco",1.60811,,,0.06556,,
19921995,"1992 - 1995",508,"Mozambique",6.44031,,,0.79649,,
19921995,"1992 - 1995",104,"Myanmar",6.88575,,,5.4832,,
19921995,"1992 - 1995",516,"Namibia",1.3651,,,-1.7007,,
19921995,"1992 - 1995",520,"Nauru",-8.90452,,,-9.32496,,
19921995,"1992 - 1995",524,"Nepal",5.45861,,,2.81187,,
19921995,"1992 - 1995",528,"Netherlands (Kingdom of the)",2.49327,,,1.85694,,
19921995,"1992 - 1995",530,"Netherlands Antilles",4.01199,,,4.34433,,
19921995,"1992 - 1995",540,"New Caledonia",2.95532,,,0.44498,,
19921995,"1992 - 1995",554,"New Zealand",5.42445,,,4.04642,,
19921995,"1992 - 1995",558,"Nicaragua",2.96145,,,0.80262,,
19921995,"1992 - 1995",562,"Niger",2.32948,,,-0.92068,,
19921995,"1992 - 1995",566,"Nigeria",-1.36192,,,-3.93437,,
19921995,"1992 - 1995",807,"North Macedonia",-1.43912,,,-0.86891,,
19921995,"1992 - 1995",578,"Norway",4.11832,,,3.53514,,
19921995,"1992 - 1995",512,"Oman",6.8443,,,3.69715,,
19921995,"1992 - 1995",582,"Pacific Islands, Trust Territory",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",586,"Pakistan",3.50362,,,0.58944,,
19921995,"1992 - 1995",585,"Palau",3.5498,,,1.07224,,
19921995,"1992 - 1995",591,"Panama",3.29172,,,1.18632,,
19921995,"1992 - 1995",590,"Panama, excluding Canal Zone",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",598,"Papua New Guinea",6.51883,,,2.7344,,
19921995,"1992 - 1995",600,"Paraguay",4.10721,,,1.5745,,
19921995,"1992 - 1995",604,"Peru",8.67725,,,6.54909,,
19921995,"1992 - 1995",608,"Philippines",3.78617,,,1.47699,,
19921995,"1992 - 1995",616,"Poland",5.31682,,,5.19521,,
19921995,"1992 - 1995",620,"Portugal",1.02808,,,0.7854,,
19921995,"1992 - 1995",630,"Puerto Rico",4.43227,,,3.60443,,
19921995,"1992 - 1995",634,"Qatar",0.8784,,,-2.13113,,
19921995,"1992 - 1995",410,"Republic of Korea",8.64871,,,8.07397,,
19921995,"1992 - 1995",498,"Republic of Moldova",-14.41323,,,-14.14599,,
19921995,"1992 - 1995",642,"Romania",4.27773,,,4.66745,,
19921995,"1992 - 1995",643,"Russian Federation",-8.98929,,,-8.87847,,
19921995,"1992 - 1995",646,"Rwanda",-18.79607,,,-9.61929,,
19921995,"1992 - 1995",659,"Saint Kitts and Nevis",5.77409,,,4.41544,,
19921995,"1992 - 1995",662,"Saint Lucia",1.11541,,,-0.4041,,
19921995,"1992 - 1995",670,"Saint Vincent and the Grenadines",2.81127,,,2.64759,,
19921995,"1992 - 1995",882,"Samoa",1.95232,,,1.12181,,
19921995,"1992 - 1995",674,"San Marino",8.20117,,,6.69666,,
19921995,"1992 - 1995",678,"Sao Tome and Principe",1.8089,,,0.07242,,
19921995,"1992 - 1995",682,"Saudi Arabia",-0.12543,,,-4.3129,,
19921995,"1992 - 1995",686,"Senegal",1.86111,,,-0.81823,,
19921995,"1992 - 1995",688,"Serbia",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",891,"Serbia and Montenegro",-7.93363,,,-8.12672,,
19921995,"1992 - 1995",690,"Seychelles",1.29702,,,0.19873,,
19921995,"1992 - 1995",694,"Sierra Leone",-1.76112,,,-1.88921,,
19921995,"1992 - 1995",702,"Singapore",10.01267,,,6.7348,,
19921995,"1992 - 1995",534,"Sint Maarten (Dutch part)",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",703,"Slovakia",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",705,"Slovenia",4.21106,,,4.34635,,
19921995,"1992 - 1995",090,"Solomon Islands",7.71674,,,4.59141,,
19921995,"1992 - 1995",706,"Somalia",-5.3663,,,-9.02884,,
19921995,"1992 - 1995",710,"South Africa",3.40148,,,1.75063,,
19921995,"1992 - 1995",728,"South Sudan",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",724,"Spain",1.45761,,,0.92177,,
19921995,"1992 - 1995",144,"Sri Lanka",5.99144,,,4.32098,,
19921995,"1992 - 1995",275,"State of Palestine",11.64857,,,7.05987,,
19921995,"1992 - 1995",729,"Sudan",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",736,"Sudan (...2011)",4.47448,,,2.00637,,
19921995,"1992 - 1995",740,"Suriname",-0.74233,,,-1.65421,,
19921995,"1992 - 1995",752,"Sweden",2.09528,,,1.46886,,
19921995,"1992 - 1995",756,"Switzerland",0.61267,,,-0.18199,,
19921995,"1992 - 1995",760,"Syrian Arab Republic",6.54303,,,3.46171,,
19921995,"1992 - 1995",762,"Tajikistan",-17.24333,,,-18.65614,,
19921995,"1992 - 1995",835,"Tanganyika",3.53218,,,,,"No value reported or collected"
19921995,"1992 - 1995",836,"Zanzibar and Pemba Island",4.82229,,,,,"No value reported or collected"
19921995,"1992 - 1995",764,"Thailand",8.24223,,,6.65104,,
19921995,"1992 - 1995",626,"Timor-Leste",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",768,"Togo",1.85233,,,0.57007,,
19921995,"1992 - 1995",776,"Tonga",3.96712,,,3.89737,,
19921995,"1992 - 1995",780,"Trinidad and Tobago",2.14925,,,1.52751,,
19921995,"1992 - 1995",788,"Tunisia",2.63279,,,0.81222,,
19921995,"1992 - 1995",792,"Turkiye",2.18327,,,0.45688,,
19921995,"1992 - 1995",795,"Turkmenistan",-8.96537,,,-10.79057,,
19921995,"1992 - 1995",796,"Turks and Caicos Islands",10.95522,,,5.58235,,
19921995,"1992 - 1995",798,"Tuvalu",3.64868,,,2.73947,,
19921995,"1992 - 1995",800,"Uganda",9.24505,,,5.80668,,
19921995,"1992 - 1995",804,"Ukraine",-17.22874,,,-16.87019,,
19921995,"1992 - 1995",810,"Union of Soviet Socialist Republics",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",784,"United Arab Emirates",6.23285,,,1.36269,,
19921995,"1992 - 1995",826,"United Kingdom",2.49245,,,2.23656,,
19921995,"1992 - 1995",834,"United Republic of Tanzania",3.56115,,,0.07735,,
19921995,"1992 - 1995",840,"United States",3.24032,,,2.12591,,
19921995,"1992 - 1995",841,"United States of America including Puerto Rico",3.24918,,,,,"No value reported or collected"
19921995,"1992 - 1995",858,"Uruguay",3.19754,,,2.65858,,
19921995,"1992 - 1995",860,"Uzbekistan",-3.05563,,,-5.11791,,
19921995,"1992 - 1995",548,"Vanuatu",3.7662,,,1.32284,,
19921995,"1992 - 1995",862,"Venezuela (Bolivarian Rep. of)",0.29419,,,-1.88068,,
19921995,"1992 - 1995",704,"Viet Nam",8.81807,,,6.87526,,
19921995,"1992 - 1995",887,"Yemen",6.90168,,,3.03635,,
19921995,"1992 - 1995",886,"Yemen, Arab Republic",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",720,"Yemen, Democratic",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",890,"Yugoslavia, Soc. Fed. Rep. of",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",894,"Zambia",-0.7753,,,-3.12268,,
19921995,"1992 - 1995",716,"Zimbabwe",2.97416,,,2.18997,,
19921995,"1992 - 1995",0002,"Special economies",,,"Not applicable",,,"Not applicable"
19921995,"1992 - 1995",251,"France including French Guiana, Guadeloupe, Martinique, Mayotte, Monaco and Reunion",1.37804,,,0.96283,,
19921995,"1992 - 1995",579,"Norway including Svalbard and Jan Mayen Islands",4.11832,,,3.53514,,
19921995,"1992 - 1995",757,"Switzerland including Liechtenstein",0.62129,,,-0.17622,,
19921995,"1992 - 1995",926,"United Kingdom including Channel Islands and Isle of Man",2.49245,,,2.23653,,
19921995,"1992 - 1995",842,"United States of America including Puerto Rico and United States Virgin Islands",3.24918,,,2.13882,,
19921995,"1992 - 1995",5600,"Asia and Oceania",4.56185,,,2.91849,,
19921995,"1992 - 1995",5702,"Northern America and Europe",1.97268,,,1.59384,,
19921995,"1992 - 1995",5706,"Europe, Northern America, Australia and New Zealand",2.03225,,,1.63867,,
19921995,"1992 - 1995",5703,"Central and Southern Asia",2.88457,,,0.7797,,
19921995,"1992 - 1995",5704,"Eastern and South-Eastern Asia",5.12487,,,3.90858,,
19921995,"1992 - 1995",5705,"Western Asia and Northern Africa",2.79315,,,0.45937,,
19921995,"1992 - 1995",1400,"Developing economies",5.08117,,,3.20691,,
19921995,"1992 - 1995",1410,"Developing economies: Africa",1.53934,,,-1.02353,,
19921995,"1992 - 1995",1420,"Developing economies: Americas",3.35463,,,1.60436,,
19921995,"1992 - 1995",1460,"Developing economies: Asia and Oceania",6.84828,,,5.10143,,
19921995,"1992 - 1995",1430,"Developing economies: Asia",6.86262,,,5.11821,,
19921995,"1992 - 1995",1450,"Developing economies: Oceania",4.04558,,,1.09749,,
19921995,"1992 - 1995",1500,"Developed economies",2.0425,,,1.63724,,
19921995,"1992 - 1995",1520,"Developed economies: Americas",3.25267,,,2.13672,,
19921995,"1992 - 1995",1560,"Developed economies: Asia and Oceania",2.37889,,,1.8366,,
19921995,"1992 - 1995",1530,"Developed economies: Asia",2.10106,,,1.62656,,
19921995,"1992 - 1995",1550,"Developed economies: Oceania",4.10306,,,2.99774,,
19921995,"1992 - 1995",1540,"Developed economies: Europe",0.86061,,,0.77518,,
19921995,"1992 - 1995",1600,"Developing economies excluding China",3.58227,,,1.42432,,
19921995,"1992 - 1995",1601,"Developing economies excluding LDCs",5.17826,,,3.44438,,
19921995,"1992 - 1995",1610,"LDCs (Least developed countries)",2.28624,,,-0.46903,,
19921995,"1992 - 1995",1614,"LDCs: Africa",0.97577,,,-1.84747,,
19921995,"1992 - 1995",1612,"LDCs: Asia",4.58272,,,1.89368,,
19921995,"1992 - 1995",1615,"LDCs: Islands and Haiti",0.81969,,,-1.1361,,
19921995,"1992 - 1995",1620,"LLDCs (Landlocked developing countries)",-3.84044,,,-5.81993,,
19921995,"1992 - 1995",1640,"SIDS (Small island developing States) (UN-OHRLLS)",4.56526,,,2.91888,,
19921995,"1992 - 1995",1641,"SIDS: Atlantic and Indian Ocean",3.81332,,,1.75462,,
19921995,"1992 - 1995",1642,"SIDS: Caribbean",2.24115,,,1.04972,,
19921995,"1992 - 1995",1643,"SIDS: Pacific",8.71744,,,5.58369,,
19921995,"1992 - 1995",2623,"Low-income developing economies",2.36296,,,-0.46357,,
19921995,"1992 - 1995",2622,"Middle-income developing economies",3.77328,,,1.62129,,
19921995,"1992 - 1995",2621,"High-income developing economies",5.74317,,,4.49384,,
19921995,"1992 - 1995",2711,"BRICS",4.85703,,,3.43357,,
19921995,"1992 - 1995",3412,"European Union (2020 …)",1.65418,,,1.41405,,
19921995,"1992 - 1995",3916,"G20 (Group of Twenty)",2.80934,,,1.51537,,
19921995,"1992 - 1995",3919,"G-77 (Group of 77)",5.80263,,,3.88834,,
19921995,"1992 - 1995",3905,"OECD (Organisation for Economic Cooperation and Development)",2.46157,,,1.64022,,
19952000,"1995 - 2000",0000,"World",3.57976,,,2.15699,,
19952000,"1995 - 2000",5100,"Africa",3.49104,,,0.92914,,
19952000,"1995 - 2000",5110,"Northern Africa",4.16799,,,2.15911,,
19952000,"1995 - 2000",5120,"Sub-Saharan Africa",3.1027,,,0.39034,,
19952000,"1995 - 2000",5121,"Eastern Africa",3.52698,,,0.5796,,
19952000,"1995 - 2000",5122,"Middle Africa",3.00038,,,0.14827,,
19952000,"1995 - 2000",5123,"Southern Africa",2.60041,,,1.36623,,
19952000,"1995 - 2000",5124,"Western Africa",3.3879,,,0.62128,,
19952000,"1995 - 2000",5200,"Americas",4.07842,,,2.70017,,
19952000,"1995 - 2000",5210,"Northern America",4.36484,,,3.36525,,
19952000,"1995 - 2000",5220,"Latin America and the Caribbean",2.96875,,,1.37585,,
19952000,"1995 - 2000",5221,"Caribbean",4.74864,,,3.63994,,
19952000,"1995 - 2000",5222,"Central America",5.28873,,,3.46945,,
19952000,"1995 - 2000",5223,"South America",1.83803,,,0.28007,,
19952000,"1995 - 2000",5300,"Asia",3.69199,,,2.21185,,
19952000,"1995 - 2000",5310,"Central Asia",2.81621,,,2.24923,,
19952000,"1995 - 2000",5330,"Eastern Asia",3.63671,,,2.87207,,
19952000,"1995 - 2000",5350,"South-eastern Asia",1.62946,,,-0.09041,,
19952000,"1995 - 2000",5320,"Southern Asia",5.10798,,,3.01706,,
19952000,"1995 - 2000",5340,"Western Asia",4.47798,,,2.20374,,
19952000,"1995 - 2000",5400,"Europe",2.89614,,,2.93717,,
19952000,"1995 - 2000",5410,"Eastern Europe",1.70832,,,2.05802,,
19952000,"1995 - 2000",5420,"Northern Europe",3.94653,,,3.69051,,
19952000,"1995 - 2000",5430,"Southern Europe",2.92207,,,2.77492,,
19952000,"1995 - 2000",5440,"Western Europe",2.61503,,,2.4319,,
19952000,"1995 - 2000",5500,"Oceania",3.86462,,,2.28972,,
19952000,"1995 - 2000",0001,"Individual economies",,,"Not applicable",,,"Not applicable"
19952000,"1995 - 2000",004,"Afghanistan",-4.9912,,,-8.1995,,
19952000,"1995 - 2000",008,"Albania",4.33884,,,4.94623,,
19952000,"1995 - 2000",012,"Algeria",3.41288,,,1.73829,,
19952000,"1995 - 2000",020,"Andorra",4.34323,,,3.66821,,
19952000,"1995 - 2000",024,"Angola",5.67687,,,2.19922,,
19952000,"1995 - 2000",660,"Anguilla",6.43088,,,3.49856,,
19952000,"1995 - 2000",028,"Antigua and Barbuda",4.41407,,,2.46675,,
19952000,"1995 - 2000",032,"Argentina",2.65684,,,1.44756,,
19952000,"1995 - 2000",051,"Armenia",5.06159,,,6.26432,,
19952000,"1995 - 2000",533,"Aruba",4.54969,,,1.30127,,
19952000,"1995 - 2000",036,"Australia",4.09893,,,2.95501,,
19952000,"1995 - 2000",040,"Austria",3.02818,,,2.87314,,
19952000,"1995 - 2000",031,"Azerbaijan",7.29857,,,6.08112,,
19952000,"1995 - 2000",044,"Bahamas",5.42303,,,3.92715,,
19952000,"1995 - 2000",048,"Bahrain",4.6014,,,2.09622,,
19952000,"1995 - 2000",050,"Bangladesh",5.19742,,,3.25315,,
19952000,"1995 - 2000",052,"Barbados",3.30883,,,3.29912,,
19952000,"1995 - 2000",112,"Belarus",6.74422,,,7.18221,,
19952000,"1995 - 2000",056,"Belgium",2.89644,,,2.66507,,
19952000,"1995 - 2000",084,"Belize",5.96627,,,2.48639,,
19952000,"1995 - 2000",204,"Benin",12.2724,,,8.96733,,
19952000,"1995 - 2000",060,"Bermuda",3.8113,,,3.10226,,
19952000,"1995 - 2000",064,"Bhutan",6.89201,,,4.99873,,
19952000,"1995 - 2000",068,"Bolivia (Plurinational State of)",3.48751,,,1.66639,,
19952000,"1995 - 2000",070,"Bosnia and Herzegovina",22.27159,,,19.5993,,
19952000,"1995 - 2000",072,"Botswana",5.28451,,,2.9487,,
19952000,"1995 - 2000",076,"Brazil",1.74718,,,0.26443,,
19952000,"1995 - 2000",092,"British Virgin Islands",9.58906,,,6.85411,,
19952000,"1995 - 2000",096,"Brunei Darussalam",1.01595,,,-1.26456,,
19952000,"1995 - 2000",100,"Bulgaria",-3.11116,,,-2.24892,,
19952000,"1995 - 2000",854,"Burkina Faso",6.56441,,,3.66171,,
19952000,"1995 - 2000",108,"Burundi",-0.4279,,,-1.75703,,
